TITLE,COMPANY NAME,LOCATION,SALARY,URL
software engineer,Lockheed Martin Canada,Location Halifax (NS),Salary Salary not available,https://www.jobbank.gc.ca/jobsearch/jobposting/35247127;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
software engineer,Lockheed Martin Canada,Location Halifax (NS),Salary Salary not available,https://www.jobbank.gc.ca/jobsearch/jobposting/35276372;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
software engineer,Lockheed Martin Canada,Location Halifax (NS),Salary Salary not available,https://www.jobbank.gc.ca/jobsearch/jobposting/35276361;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
software engineer,Lockheed Martin Canada,Location Halifax (NS),Salary Salary not available,https://www.jobbank.gc.ca/jobsearch/jobposting/35276339;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
"engineer, software",Avenu,Location Dartmouth (NS),Salary Salary not available,https://www.jobbank.gc.ca/jobsearch/jobposting/35341561;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
"software engineer 
						
							





Verified

This job posting has been provided directly by the employer to Job Bank.",HB Studios Multimedia Ltd,Location Lunenburg (NS),"Salary Salary: $65,000.00 to $80,000.00 annually (to be negotiated)",https://www.jobbank.gc.ca/jobsearch/jobposting/35249131;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
"test engineer, software",Lockheed Martin Canada,Location Halifax (NS),Salary Salary not available,https://www.jobbank.gc.ca/jobsearch/jobposting/35276436;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
"software engineer 
						
							





Verified

This job posting has been provided directly by the employer to Job Bank.",Maritime Digital Art and Design ltd,Location Halifax (NS),Salary Salary: $38.00 hourly,https://www.jobbank.gc.ca/jobsearch/jobposting/35192773;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
"systems applications engineer 
						
							





Verified

This job posting has been provided directly by the employer to Job Bank.",Daxsonics Ultrasound Inc.,Location Halifax (NS),"Salary Salary: $60,000.00 to $90,000.00 annually (to be negotiated)",https://www.jobbank.gc.ca/jobsearch/jobposting/35224338;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
"devops engineer 
						
							





Verified

This job posting has been provided directly by the employer to Job Bank.",Worklinks Inc.,Location Summerside (PE),"Salary Salary: $45,000.00 to $50,000.00 annually (to be negotiated)",https://www.jobbank.gc.ca/jobsearch/jobposting/35158005;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
software technical architect,Cooke Aquaculture Inc.,Location Saint John (NB),Salary Salary not available,https://www.jobbank.gc.ca/jobsearch/jobposting/35248639;jsessionid=188D0E4DF63886519A75611C93ADCC69.jobsearch75?source=searchresults
